Hour,Day,Month,Year,PredictedLoad
2,7,4,2021,4732.565
3,7,4,2021,4759.882
4,7,4,2021,4746.565
5,7,4,2021,4811.8647
7,7,4,2021,5676.1553
8,7,4,2021,5813.56
10,7,4,2021,5809.143
11,7,4,2021,5835.4517
12,7,4,2021,5913.2876
13,7,4,2021,5762.4683
14,7,4,2021,5754.4287
15,7,4,2021,5730.473
18,7,4,2021,5857.6167
19,7,4,2021,5941.511
20,7,4,2021,5722.2173
21,7,4,2021,5802.127
0,8,4,2021,4539.9365
1,8,4,2021,4488.1763
2,8,4,2021,4505.1304
4,8,4,2021,4512.142
8,8,4,2021,5520.933
10,8,4,2021,5686.9204
11,8,4,2021,5671.555
14,8,4,2021,5735.4873
15,8,4,2021,5744.776
16,8,4,2021,5805.107
17,8,4,2021,5814.021
18,8,4,2021,5881.346
22,8,4,2021,5760.421
1,9,4,2021,4430.591
2,9,4,2021,4406.448
5,9,4,2021,4435.85
6,9,4,2021,4450.9336
8,9,4,2021,5454.394
9,9,4,2021,5491.242
12,9,4,2021,5743.788
13,9,4,2021,5841.6167
14,9,4,2021,5888.434
15,9,4,2021,5913.4966
18,9,4,2021,6135.403
20,9,4,2021,5531.359
21,9,4,2021,5619.3677
22,9,4,2021,5634.228
23,9,4,2021,5657.435
1,10,4,2021,4357.8955
2,10,4,2021,4365.484
3,10,4,2021,4384.928
4,10,4,2021,4392.3677
5,10,4,2021,4405.7573
8,10,4,2021,5244.735
9,10,4,2021,5348.099
11,10,4,2021,5546.393
12,10,4,2021,5647.6914
16,10,4,2021,5732.2275
18,10,4,2021,5791.1353
20,10,4,2021,5352.2866
21,10,4,2021,5425.448
0,7,4,2021,4746.708
6,7,4,2021,4894.3823
22,7,4,2021,5869.08
23,7,4,2021,5891.9653
3,8,4,2021,4515.359
5,8,4,2021,4545.2026
7,8,4,2021,5345.6074
12,8,4,2021,5665.696
13,8,4,2021,5737.522
19,8,4,2021,5934.133
20,8,4,2021,5548.2017
23,8,4,2021,5795.4624
10,9,4,2021,5607.348
13,10,4,2021,5656.6704
15,10,4,2021,5714.1455
19,10,4,2021,5812.827
23,10,4,2021,5523.696
9,8,4,2021,5644.5386
21,8,4,2021,5641.1245
0,9,4,2021,4445.851
3,9,4,2021,4410.614
4,9,4,2021,4422.9946
7,9,4,2021,5291.3203
11,9,4,2021,5733.164
16,9,4,2021,6012.472
0,10,4,2021,4349.583
6,10,4,2021,4416.1694
7,10,4,2021,5193.352
14,10,4,2021,5672.1294
17,10,4,2021,5764.3096
1,7,4,2021,4726.535
9,7,4,2021,5812.525
16,7,4,2021,5859.1465
17,7,4,2021,5885.355
6,8,4,2021,4541.4634
17,9,4,2021,6087.063
19,9,4,2021,6179.265
10,10,4,2021,5476.374
22,10,4,2021,5479.396
5,7,4,2021,4811.8647
6,7,4,2021,4894.3823
12,7,4,2021,5913.2876
14,7,4,2021,5754.4287
15,7,4,2021,5730.473
17,7,4,2021,5885.355
18,7,4,2021,5857.6167
20,7,4,2021,5722.2173
21,7,4,2021,5802.127
23,7,4,2021,5891.9653
0,8,4,2021,4539.9365
2,8,4,2021,4505.1304
4,8,4,2021,4512.142
0,7,4,2021,4746.708
4,7,4,2021,4746.565
7,7,4,2021,5676.1553
9,7,4,2021,5812.525
13,7,4,2021,5762.4683
19,7,4,2021,5941.511
22,7,4,2021,5869.08
3,8,4,2021,4515.359
5,8,4,2021,4545.203
7,8,4,2021,5345.607
8,8,4,2021,5520.933
9,8,4,2021,5644.5386
10,8,4,2021,5686.9204
12,8,4,2021,5665.696
13,8,4,2021,5737.522
14,8,4,2021,5735.4873
15,8,4,2021,5744.776
16,8,4,2021,5805.107
18,8,4,2021,5881.345
20,8,4,2021,5548.2017
21,8,4,2021,5641.1245
22,8,4,2021,5760.421
23,8,4,2021,5795.4624
0,9,4,2021,4445.851
1,9,4,2021,4430.591
2,9,4,2021,4406.4487
3,9,4,2021,4410.614
4,9,4,2021,4422.9946
5,9,4,2021,4435.8496
6,9,4,2021,4450.9336
7,9,4,2021,5291.3203
8,9,4,2021,5454.394
9,9,4,2021,5491.242
12,9,4,2021,5743.788
13,9,4,2021,5841.6167
14,9,4,2021,5888.434
16,9,4,2021,6012.472
17,9,4,2021,6087.063
18,9,4,2021,6135.403
19,9,4,2021,6179.265
20,9,4,2021,5531.359
1,10,4,2021,4357.8955
2,10,4,2021,4365.484
6,10,4,2021,4416.1694
7,10,4,2021,5193.352
8,10,4,2021,5244.735
10,10,4,2021,5476.374
14,10,4,2021,5672.1294
15,10,4,2021,5714.1455
19,10,4,2021,5812.8276
20,10,4,2021,5352.2866
1,7,4,2021,4726.535
2,7,4,2021,4732.565
3,7,4,2021,4759.882
8,7,4,2021,5813.56
10,7,4,2021,5809.143
11,7,4,2021,5835.4517
16,7,4,2021,5859.1465
1,8,4,2021,4488.1763
6,8,4,2021,4541.4634
11,8,4,2021,5671.555
17,8,4,2021,5814.021
19,8,4,2021,5934.133
10,9,4,2021,5607.348
11,9,4,2021,5733.164
15,9,4,2021,5913.4966
21,9,4,2021,5619.3677
22,9,4,2021,5634.228
23,9,4,2021,5657.435
0,10,4,2021,4349.583
3,10,4,2021,4384.928
4,10,4,2021,4392.3677
5,10,4,2021,4405.7573
9,10,4,2021,5348.099
11,10,4,2021,5546.393
12,10,4,2021,5647.6914
13,10,4,2021,5656.6704
16,10,4,2021,5732.2275
17,10,4,2021,5764.3096
18,10,4,2021,5791.1353
21,10,4,2021,5425.448
22,10,4,2021,5479.396
23,10,4,2021,5523.696
