Hour,Day,Month,Year,Load
2,1,1,2018,5778.249956054688
4,1,1,2018,5598.167998046875
5,1,1,2018,5609.342993164062
20,1,1,2018,7054.196108398438
23,1,1,2018,6386.96384765625
1,2,1,2018,5705.23
12,2,1,2018,7337.841079101562
14,2,1,2018,7289.6659326171875
23,2,1,2018,6428.984936523438
1,1,1,2018,5975.046098632813
6,1,1,2018,5660.692998046875
18,1,1,2018,7115.767958984375
22,1,1,2018,6649.169965820312
3,2,1,2018,5493.662905273438
6,2,1,2018,5774.24205078125
8,2,1,2018,6869.812939453125
10,2,1,2018,7244.858896484375
16,2,1,2018,7312.15392578125
17,2,1,2018,7551.390849609375
18,2,1,2018,7592.59083984375
19,2,1,2018,7488.831044921875
21,2,1,2018,7152.550122070313
22,2,1,2018,6750.9838671875
0,1,1,2018,6192.216020507813
4,2,1,2018,5451.501948242188
5,2,1,2018,5545.925
11,2,1,2018,7317.919013671875
13,2,1,2018,7328.260063476562
3,1,1,2018,5658.2130517578125
17,1,1,2018,7056.300048828125
19,1,1,2018,7148.677978515625
21,1,1,2018,6947.874013671875
0,2,1,2018,5990.377973632812
2,2,1,2018,5558.001030273437
7,2,1,2018,6360.949150390625
9,2,1,2018,7044.727055664062
15,2,1,2018,7246.227973632813
20,2,1,2018,7318.292954101563
